method,mean_ms,std_ms,min_ms,max_ms,speed_vs_agwi
Sobel,1.6627990003325976,0.08451763015315729,1.5200000198092312,2.277100022183731,363.4869752016405
Canny,2.2777065000263974,0.10470606951796733,2.1177000016905367,2.6514999917708337,265.3571823201114
GWi,15.543098498892505,0.5509602986506454,14.852899999823421,18.43110000481829,38.885797387327464
GWC,33.70266950019868,0.9492504256394108,32.37490000901744,36.07679999549873,17.933469008905792
PC,402.15669949917356,8.326443917702914,390.3141999908257,426.1188999807928,1.5029111283037313
AGWi,604.4057789992075,5.817206997626542,596.4947000029497,629.3406000186224,1.0
