dataset,method,n_images,ODS,ODS_lo,ODS_hi,OIS,OIS_lo,OIS_hi,AP,AP_lo,AP_hi,F_at_ODS_mean,F_at_ODS_std
BSDS500,AGWi_variance,200,0.5404325167988374,0.5223046726661696,0.5586893344061992,0.568061532861244,0.5485983837810755,0.5866723928434818,0.48520031071771214,0.4578889190445108,0.5125603863119816,0.5401671481890632,0.12747470211880382
BSDS500,A12_static_fmin,200,0.5347599300292641,0.5160960251125974,0.5535363255500595,0.5654982669502124,0.5460227920818396,0.5842760512324643,0.48822313114453536,0.4585822301921904,0.5168269066846212,0.535559222676561,0.12875612728089564
BSDS500,AGWi_fmax0.55,200,0.5341754904252535,0.5157650858927872,0.5530629210354736,0.5655828500071065,0.5468549657968013,0.5839080762998629,0.48591000636757603,0.4588212019851367,0.5132767917270944,0.5348686799363668,0.12627117485908496
BSDS500,AGWi_sobel,200,0.5340784906032419,0.5157479977425252,0.5526609739518973,0.5656456284746534,0.547099736570286,0.583951071757554,0.48538387538330846,0.4586588117672295,0.5117927613628419,0.5343589691199149,0.1260605705616246
BSDS500,AGWi,200,0.5340784906032419,0.5157479977425252,0.5526609739518973,0.5656456284746534,0.547099736570286,0.583951071757554,0.48538387538330846,0.4586588117672295,0.5117927613628419,0.5343589691199149,0.1260605705616246
BSDS500,AGWi_fmax0.45,200,0.5340784906032419,0.5157479977425252,0.5526609739518973,0.5656456284746534,0.547099736570286,0.583951071757554,0.48538387538330846,0.4586588117672295,0.5117927613628419,0.5343589691199149,0.1260605705616246
BSDS500,A1_AGWi_full,200,0.5340784906032419,0.5157479977425252,0.5526609739518973,0.5656456284746534,0.547099736570286,0.583951071757554,0.48538387538330846,0.4586588117672295,0.5117927613628419,0.5343589691199149,0.1260605705616246
BSDS500,AGWi_fmax0.35,200,0.5337662352636269,0.5151707557542542,0.5526968357259076,0.5662031252624097,0.5474206915663797,0.584661851329412,0.4823539942230342,0.45592943256725854,0.5089572495978003,0.535091374004971,0.1275446246383348
BSDS500,AGWi_fmax0.25,200,0.5332880732077335,0.5148188659356129,0.5526212918582382,0.5652094477242179,0.5464571967060088,0.5837159150854937,0.4772047219144943,0.45015586926430395,0.5036456465664493,0.5346289812660073,0.12788577758178854
BSDS500,Canny,200,0.5329145457262786,0.5145327619517585,0.5521116412780295,0.5618858457350914,0.5412604463786401,0.5820504634699891,0.49245084908381764,0.4621226368576029,0.5229212886455058,0.5339780090218583,0.12969008282996705
BSDS500,A7_rho_shuffle,200,0.5298664926706048,0.5109339376687743,0.5493094730039133,0.5578099807136547,0.5372611720881929,0.5781647318988302,0.4918647629803771,0.46133707657508966,0.521714884788516,0.5327195038161406,0.12875458258871583
BSDS500,PC,200,0.5240711955455444,0.5079525576987011,0.5396817984884782,0.5416698844607725,0.525987590100193,0.5570577052061689,0.41691030843365595,0.39737634531645727,0.43665408215450047,0.5102772406570729,0.11282514836789197
BSDS500,A9_rho_edgemap,200,0.5082162769221381,0.4903440954082345,0.526160895658551,0.5522342056833881,0.5355219619420164,0.5687127184079186,0.3963827243602008,0.36988543281319053,0.4243158039359676,0.5112378828629086,0.12578973645028296
BSDS500,Sobel,200,0.4635376354853568,0.44563775243875126,0.4828950015750562,0.5030161506617558,0.4827742843194194,0.5239481478653695,0.40547287829723344,0.37839426892513855,0.4359694810795751,0.4702898620558068,0.12848867209367043
BSDS500,A0_GWi_static,200,0.41713912064629877,0.39943980706345517,0.4363242581089936,0.4709627251352459,0.45451874956655397,0.48770361486532676,0.31958647168789156,0.2970727654924658,0.3449106281260765,0.4238786540461561,0.12479676978937514
BSDS500,GWi,200,0.41713912064629877,0.39943980706345517,0.4363242581089936,0.4709627251352459,0.45451874956655397,0.48770361486532676,0.31958647168789156,0.2970727654924658,0.3449106281260765,0.4238786540461561,0.12479676978937514
BSDS500,CannyBinary,200,0.4078109019668896,0.38959115955491025,0.42689404743068027,0.4078109019668896,0.38959115955491025,0.42689404743068027,0.2329590280746202,0.21952178787114865,0.24756205268908774,0.4284633188626576,0.1451599150783135
BSDS500,GWC,200,0.3965383376574453,0.3778292155386805,0.4168166843889926,0.4650334633443267,0.44978584974556346,0.4808216943900761,0.2767113610347019,0.25514049025183905,0.302113733850058,0.39884007873621086,0.13302363518834096
BSDS500,A13_cdf,200,0.3609069812694527,0.34871643606069114,0.373662758189988,0.3914204141104866,0.37975628157699326,0.4034706132730489,0.28203866866683863,0.26734119831531955,0.2972776200722581,0.3577375531534759,0.08703313088986071
